flight_id,flight_number,origin_airport_id,destination_airport_id,airline_id,plane_id
385d36e8,EY867,ZSPD,OMAA,ETD,B789
385d3706,DL64,NZAA,KLAX,DAL,A359
385d373a,UA830,YSSY,KSFO,UAL,B77W
385d38fd,CA877,ZBAA,EKCH,CCA,A359
385d3923,AM25,MMMX,EHAM,AMX,B788
385d3938,AR1140,SAEZ,LIRF,ARG,A332
385d39a6,LH719,RKSI,EDDM,DLH,A359
385d39ff,UA61,YMML,KSFO,UAL,B789
385d3a4e,NZ5,KLAX,NZAA,ANZ,B77W
385d3a58,JL6,RJTT,KJFK,JAL,A35K
385d3a7c,CX830,VHHH,KJFK,CPA,B77W
385d3a99,AC66,VTBS,CYVR,ACA,B789
385d3b37,LA810,YSSY,SCEL,LAN,B789
385d3b49,AF411,SAEZ,LFPG,AFR,B789
385d3b4a,UA97,YBBN,KSFO,UAL,B772
385d3b6c,QR8080,KIAH,OTHH,QTR,B77L
385d3bb1,QF93,YMML,KLAX,QFA,A388
385d3d10,AZ793,RJTT,LIRF,ITY,A359
385d3d41,MU533,ZSPD,EGLL,CES,B77W
385d401e,UA188,KEWR,FAOR,UAL,B789
385d4038,EK3,OMDB,EGLL,UAE,A388
385d40d7,QR702,KJFK,OTHH,QTR,B77W
385d40ee,QF94,KLAX,YMML,QFA,B789
385d418c,JL10,RJTT,KORD,JAL,B77W
385d425a,PR654,RPLL,OERK,PAL,A333
385d4261,UA101,KIAH,YSSY,UAL,B789
385d4331,LA8086,SBGR,KLAX,LAN,B789
385d437e,DL200,KATL,FAOR,DAL,A359
385d43bc,TK185,LTFM,KORD,THY,B789
385d441c,SQ7434,RJGG,KCVG,DHK,B77L
385d442a,UA862,VHHH,KSFO,UAL,B77W
385d448e,QF8,KDFW,YSSY,QFA,B789
385d44e5,AM7,MMMX,EGLL,AMX,B789
385d454b,QF22,KDFW,YMML,QFA,B789
385d45be,NZ23,CYVR,NZAA,ANZ,B789
385d460e,LO6672,WMKL,EPWA,LOT,B789
385d467b,NZ29,KIAH,NZAA,ANZ,B77W
385d4685,QR777,OTHH,KMIA,QTR,A35K
385d46f5,B6289,KJFK,KSAN,JBU,A321
385d471a,NH110,RJTT,KJFK,ANA,B77W
385d471b,MH4,WMKK,EGLL,MAS,A359
385d479c,LA8070,SBGR,EDDF,LAN,B77W
385d47d6,CZ673,ZBAD,EGLL,CSN,A359
385d4994,AC56,CYYZ,OMDB,ACA,B789
385d4a4a,WN573,KLGA,KDAL,SWA,B38M
385d4a7d,AA82,NZAA,KLAX,AAL,B788
385d4aa2,EY6,KIAD,OMAA,ETD,B789
385d4aab,LH729,ZSPD,EDDF,DLH,B744
385d4aaf,UA164,KEWR,OMDB,UAL,B772
385d4b6a,BRS2902,SBGL,ESKN,BRS,A332
385d4b8a,CK205,ZSPD,EHAM,CKK,B77L
385d4c24,CT101,EBLG,ZSHC,,B744
385d4c29,TK904,MPTO,LTFM,THY,B789
385d4c5e,TK192,KDFW,LTFM,THY,B789
385d4cb6,K4624,KLAX,RKSI,CKS,B744
385d4cb7,AA120,KPHL,OTHH,AAL,B789
385d4d04,DL2652,KBDL,KATL,DAL,A321
385d4d4a,OS76,ZSPD,LOWW,AUA,B772
385d4df4,TK34,KIAH,LTFM,THY,B789
385d4df7,QR921,NZAA,OTHH,QTR,A35K
385d4e26,TK10,KLAX,LTFM,THY,B77W
385d4fd6,LA602,SCEL,KLAX,LAN,B789
385d50a4,IB282,RJAA,LEMD,IBE,A359
385d50b8,CX828,VHHH,CYYZ,CPA,A35K
385d511f,CI11,KJFK,RCTP,CAL,B77W
385d5129,UA872,RCTP,KSFO,UAL,B77W
385d525e,IB2624,KLAX,LEBL,LVL,A332
385d52a6,5Y595,PANC,ZSHC,GTI,B77L
385d5342,DL27,KATL,RKSI,DAL,A359
